Date,Closing Price
31/5/2018,32000
1/6/2018,32350
4/6/2018,33400
5/6/2018,33500
6/6/2018,33900
7/6/2018,33350
8/6/2018,34000
11/6/2018,34050
12/6/2018,33600
13/6/2018,33950
14/6/2018,32600
15/6/2018,33500
18/6/2018,31250
19/6/2018,31000
20/6/2018,31500
21/6/2018,30900
22/6/2018,31600
25/6/2018,31650
26/6/2018,31400
27/6/2018,29700
28/6/2018,28500
29/6/2018,28500
2/7/2018,27500
3/7/2018,25800
4/7/2018,27250
5/7/2018,26850
6/7/2018,28600
9/7/2018,27800
10/7/2018,27650
11/7/2018,26000
12/7/2018,26100
13/7/2018,27450
16/7/2018,27300
17/7/2018,27800
18/7/2018,29200
19/7/2018,28900
20/7/2018,29150
23/7/2018,28150
24/7/2018,27400
25/7/2018,26500
26/7/2018,27700
27/7/2018,27900
30/7/2018,28600
31/7/2018,28900
1/8/2018,29000
2/8/2018,29350
3/8/2018,29050
6/8/2018,28600
7/8/2018,28950
8/8/2018,29550
9/8/2018,29600
10/8/2018,30300
13/8/2018,31500
14/8/2018,31000
15/8/2018,30000
16/8/2018,29800
17/8/2018,29700
20/8/2018,29150
21/8/2018,30600
22/8/2018,30200
23/8/2018,30550
24/8/2018,30200
27/8/2018,30850
28/8/2018,31700
29/8/2018,31900
30/8/2018,32250
31/8/2018,31600
4/9/2018,30700
5/9/2018,30900
6/9/2018,30900
7/9/2018,31500
10/9/2018,31300
11/9/2018,32200
12/9/2018,31700
13/9/2018,31800
14/9/2018,32100
17/9/2018,31300
18/9/2018,32000
19/9/2018,32250
20/9/2018,32600
21/9/2018,32900
24/9/2018,33150
25/9/2018,32950
26/9/2018,33000
27/9/2018,33600
28/9/2018,33500
1/10/2018,33200
2/10/2018,33050
3/10/2018,33350
4/10/2018,33300
5/10/2018,32600
8/10/2018,32550
9/10/2018,32650
10/10/2018,32600
11/10/2018,30350
12/10/2018,30950
15/10/2018,30300
16/10/2018,30350
17/10/2018,30800
18/10/2018,30400
19/10/2018,30150
22/10/2018,30000
23/10/2018,29000
24/10/2018,28300
25/10/2018,28000
26/10/2018,27550
29/10/2018,27400
30/10/2018,27500
31/10/2018,28650
1/11/2018,28000
2/11/2018,28800
5/11/2018,28900
6/11/2018,28600
7/11/2018,28500
8/11/2018,28650
9/11/2018,27800
12/11/2018,28300
13/11/2018,27850
14/11/2018,27800
15/11/2018,27600
16/11/2018,27700
19/11/2018,28500
20/11/2018,28400
21/11/2018,28900
22/11/2018,28650
23/11/2018,27900
26/11/2018,27800
27/11/2018,27950
28/11/2018,28200
29/11/2018,28300
30/11/2018,28500
3/12/2018,29650
4/12/2018,29450
5/12/2018,29500
6/12/2018,29400
7/12/2018,29650
10/12/2018,29250
11/12/2018,29150
12/12/2018,29650
13/12/2018,29700
14/12/2018,29300
17/12/2018,28550
18/12/2018,28200
19/12/2018,28100
20/12/2018,28150
21/12/2018,27850
24/12/2018,27000
25/12/2018,26850
26/12/2018,26650
27/12/2018,27000
28/12/2018,26650
2/1/2019,26500
3/1/2019,26000
4/1/2019,26000
7/1/2019,26050
8/1/2019,25700
9/1/2019,25750
10/1/2019,25550
11/1/2019,26150
14/1/2019,25800
15/1/2019,26000
16/1/2019,25750
17/1/2019,25200
18/1/2019,25150
21/1/2019,25600
22/1/2019,25550
23/1/2019,25450
24/1/2019,25550
25/1/2019,26200
28/1/2019,26050
29/1/2019,26200
30/1/2019,26000
31/1/2019,26100
1/2/2019,26100
11/2/2019,26900
12/2/2019,27150
13/2/2019,27200
14/2/2019,27100
15/2/2019,26850
18/2/2019,27100
19/2/2019,27250
20/2/2019,27500
21/2/2019,27900
22/2/2019,28250
25/2/2019,28600
26/2/2019,28500
27/2/2019,28250
28/2/2019,27900
1/3/2019,28200
4/3/2019,28900
5/3/2019,28800
6/3/2019,28800
7/3/2019,28750
8/3/2019,28450
11/3/2019,28600
12/3/2019,28800
13/3/2019,29400
14/3/2019,29550
15/3/2019,29500
18/3/2019,29200
19/3/2019,28900
20/3/2019,28550
21/3/2019,27300
22/3/2019,27500
25/3/2019,26800
26/3/2019,27100
27/3/2019,27100
28/3/2019,27050
29/3/2019,27200
1/4/2019,27700
2/4/2019,27700
3/4/2019,27350
4/4/2019,27300
5/4/2019,27500
8/4/2019,27800
9/4/2019,28000
10/4/2019,27450
11/4/2019,27250
12/4/2019,27000
16/4/2019,26750
17/4/2019,26550
18/4/2019,26000
19/4/2019,26000
22/4/2019,25200
23/4/2019,25150
24/4/2019,25700
25/4/2019,25500
26/4/2019,25800
2/5/2019,25600
3/5/2019,25900
6/5/2019,25200
7/5/2019,24900
8/5/2019,24700
9/5/2019,24600
10/5/2019,25050
13/5/2019,25200
14/5/2019,25050
15/5/2019,25750
